Time(s),Executable
.084487263,shield_elf
.023868503,baseline_elf
.083232661,shield_elf
.022706461,baseline_elf
.096610657,shield_elf
.022456666,baseline_elf
.086179224,shield_elf
.024396043,baseline_elf
.083722903,shield_elf
.021825948,baseline_elf
