Time(s),Executable
.088916426,shield_elf
.024177930,baseline_elf
.089296603,shield_elf
.023420273,baseline_elf
.098175085,shield_elf
.022971962,baseline_elf
.088000944,shield_elf
.022895925,baseline_elf
.088168203,shield_elf
.023339089,baseline_elf
