Time(s),Executable
.088617302,shield_elf
.022818384,baseline_elf
.087596871,shield_elf
.016492831,baseline_elf
.077555578,shield_elf
.023038315,baseline_elf
.085240940,shield_elf
.022683740,baseline_elf
.086334247,shield_elf
.022364830,baseline_elf
