Time(s),Executable
.092457539,shield_elf
.026165387,baseline_elf
.094763546,shield_elf
.026349427,baseline_elf
.092064565,shield_elf
.027431588,baseline_elf
.091716890,shield_elf
.030127161,baseline_elf
.091139810,shield_elf
.026434023,baseline_elf
